status,subjectId,questionId,questionNumber,imageSlot,sourceUrl,targetUrl,note
done,anatomy,aiims-2017-anatomy-q001,1,1,/uploads/medicomm-atlas-aiims-2017-anatomy-q001.png,/uploads/medicomm-atlas-aiims-2017-anatomy-q001.png,"Medicomm atlas-style educational schematic generated from the original PDF image; black background, Roman numeral markers, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q002,2,1,/uploads/yellowfool-aiims-2017-anatomy-q002-p3-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q002.png,converted; arrow preserved; original source recorded in sourceImageUrls
done,anatomy,aiims-2017-anatomy-q003,3,1,/uploads/yellowfool-aiims-2017-anatomy-q003-p3-i2.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q003.png,converted; arrows preserved; original source recorded in sourceImageUrls
done,anatomy,aiims-2017-anatomy-q004,4,1,/uploads/yellowfool-aiims-2017-anatomy-q004-p4-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q004.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q005,5,1,/uploads/yellowfool-aiims-2017-anatomy-q005-p5-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q005.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, original markers preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q006,6,1,/uploads/yellowfool-aiims-2017-anatomy-q006-p5-i2.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q006.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q007,7,1,/uploads/yellowfool-aiims-2017-anatomy-q007-p6-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q007.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, arrow preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q009,9,1,/uploads/yellowfool-aiims-2017-anatomy-q009-p7-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q009.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, label and arrow preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q013,13,1,/uploads/yellowfool-aiims-2017-anatomy-q013-p8-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q013.png,"Medicomm atlas-style educational histology plate generated from the original source image; black background, letter labels preserved, source histology preserved."
done,anatomy,aiims-2017-anatomy-q014,14,1,/uploads/yellowfool-aiims-2017-anatomy-q014-p9-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q014.png,"Medicomm atlas-style educational specimen image generated from the original source image; black background, letter labels and arrows preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q017,17,1,/uploads/yellowfool-aiims-2017-anatomy-q017-p10-i2.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q017.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
